
;32d;34a;d3bc;
ca;301;312;49bc;
c6;2ff;313;4f64;
c3;300;314;5508;
bf;301;311;5aac;
bc;302;314;6050;
b7;301;312;65f8;
b4;304;311;6b9c;
af;302;312;7140;
ac;301;314;76e4;
a7;300;312;7c8c;
a2;303;314;8230;
9f;303;314;87d4;
9a;301;312;8d78;
95;303;313;9320;
91;302;314;98c4;
8d;303;313;9e68;
88;302;315;a414;
83;305;313;a9b4;
7e;302;313;af58;
79;302;313;b4fc;
76;2ff;316;baa0;
70;302;316;c048;
6c;301;31b;c5ec;
67;303;318;cb90;
63;303;31d;d134;
5e;302;319;d6dc;
5a;305;31c;dc80;
56;306;31c;e224;
52;306;31f;e7c8;
4e;306;31f;ed70;
49;308;322;f314;
45;30a;323;f8b8;
42;30b;324;fe5c;
3e;30c;327;408;
3b;30d;32c;954;
38;30e;32c;ea4;
35;310;32b;13f4;
31;315;333;1998;
2f;315;332;1f3c;
2c;317;332;24e0;
28;314;335;2a88;
27;31a;335;302c;
24;320;335;35d0;
22;321;33b;3b74;
21;323;33d;411c;
1f;326;33d;46c0;
1e;325;342;4c64;
1c;328;342;5208;
1b;32c;341;57b0;
1a;32b;343;5d54;
1a;32d;346;62f8;
19;32f;347;689c;
18;332;34b;6e44;
19;331;34c;73e8;
19;332;34e;798c;
19;331;34f;7f30;
1a;331;351;84d8;
1b;333;353;8a7c;
1b;332;352;9020;
1d;332;354;95c4;
1e;333;356;9b6c;
20;335;358;a110;
21;331;359;a6b4;
24;332;357;ac58;
26;32f;357;b200;
28;331;358;b7a4;
2a;334;35a;bd48;
2d;32f;35b;c2ec;
30;331;35a;c894;
33;334;35f;ce38;
37;331;35e;d3dc;
3a;331;35e;d980;
3e;332;35d;df28;
41;331;35f;e4cc;
45;332;360;ea70;
49;330;360;f01c;
4e;32d;35e;f5bc;
51;32e;35f;fb60;
54;330;35f;104;
59;32d;35d;654;
5d;32b;35f;ba4;
61;32c;35d;10f4;
65;32c;35e;1698;
6b;32b;35f;1c40;
6f;329;35d;21e4;
74;329;35e;2788;
79;325;35e;2d2c;
7d;328;35d;32d4;
82;325;35e;3878;
87;327;35c;3e1c;
8b;322;358;43c0;
90;325;35c;4968;
94;31f;359;4f0c;
99;31e;359;54b0;
9d;31e;35a;5a54;
a1;31e;356;5ffc;
a5;31b;355;65a0;
aa;31d;354;6b44;
af;317;354;70e8;
b3;315;351;7690;
b6;318;351;7c34;
bb;317;34f;81d8;
be;318;34b;877c;
c1;314;34c;8d24;
c5;316;34b;92c8;
c7;318;347;986c;
cb;316;346;9e10;
ce;315;343;a3b8;
d0;319;341;a95c;
d4;317;341;af00;
d7;317;33c;b4a4;
d8;317;33a;ba4c;
da;317;33b;bff0;
dd;319;338;c594;
de;314;336;cb38;
e0;313;337;d0e0;
e1;312;333;d684;
e2;311;32f;dc28;
e4;311;32e;e1cc;
e3;30e;32a;e774;
e4;30d;327;ed18;
e4;30f;328;f2bc;
e5;30d;324;f860;
e5;30d;322;fe08;
e5;308;320;3ac;
e4;308;320;8fc;
e4;305;31f;e4c;
e3;304;31c;139c;
e0;302;31d;1940;
e0;303;317;1ee4;
df;300;318;248c;
de;303;31a;2a30;
db;302;316;2fd4;
d8;302;315;3578;
d7;302;313;3b20;
d3;304;315;40c4;
d1;304;315;4668;
cf;304;311;4c14;
cb;304;315;51b4;
c9;305;312;5758;
c5;300;311;5cfc;
c2;303;311;62a0;
bf;303;312;6848;
bb;306;313;6dec;
b7;302;313;7390;
b4;305;313;7934;
af;301;314;7edc;
aa;300;311;8480;
a7;300;313;8a24;
a2;2ff;311;8fc8;
9e;302;312;9570;
99;301;315;9b14;
95;300;314;a0b8;
90;302;312;a65c;
8c;301;314;ac08;
87;301;316;b1a8;
82;303;315;b74c;
7e;303;315;bcf0;
7a;303;316;c298;
74;303;316;c83c;
6f;302;318;cde0;
6c;302;318;d384;
67;302;31b;d92c;
63;304;319;ded0;
5e;303;318;e474;
59;304;31a;ea18;
55;303;31d;efc0;
52;305;31f;f564;
4d;307;31f;fb08;
4a;307;322;ac;
46;308;320;5a8;
42;30a;323;af8;
3f;30b;327;1048;
3b;30e;328;15ec;
38;30d;32a;1b94;
35;310;32e;2138;
31;312;32e;26dc;
2e;316;332;2c80;
2c;317;331;3228;
29;31a;335;37cc;
26;31e;336;3d70;
24;31f;338;4314;
23;322;33e;48bc;
21;324;33d;4e60;
1f;325;33d;540c;
1d;328;33b;59a8;
1c;325;343;5f50;
1b;32c;344;64f4;
1a;32e;342;6a98;
19;32d;347;703c;
19;32e;348;75e4;
19;332;34b;7b88;
19;331;34c;812c;
19;332;34a;86d0;
19;334;34d;8c78;
1a;332;34e;921c;
1b;333;351;97c0;
1c;334;353;9d64;
1d;331;351;a30c;
1f;332;355;a8b0;
20;333;356;ae54;
22;332;357;b3f8;
24;333;359;b9a0;
26;334;358;bf44;
28;333;357;c4e8;
2b;336;35b;ca8c;
2d;332;35c;d034;
31;336;35d;d5d8;
33;332;35c;db7c;
37;332;35c;e120;
3a;334;35e;e6c8;
3e;331;35d;ec6c;
41;333;35d;f210;
45;32f;35f;f7b4;
49;334;35a;fd5c;
4d;32e;35d;300;
51;330;35f;850;
55;330;360;da0;
59;331;35d;12f0;
5d;32b;35f;1894;
62;32d;35f;1e38;
66;32c;35e;23e0;
6b;32a;35e;2984;
6f;328;35e;2f28;
73;326;35c;34cc;
78;325;35d;3a74;
7d;328;35e;401c;
82;326;35e;45bc;
86;324;35d;4b60;
8b;323;35e;5108;
8f;322;35b;56ac;
94;31e;35b;5c50;
99;31f;359;61f4;
9c;31e;357;679c;
a1;31d;357;6d40;
a6;31e;355;72e4;
aa;31b;354;7888;
af;31a;351;7e30;
b2;31a;354;83d4;
b6;318;34e;8978;
ba;319;34e;8f1c;
bd;316;34c;94c4;
c1;316;349;9a68;
c5;318;34b;a014;
c7;316;348;a5b0;
cb;316;344;ab58;
ce;317;344;b0fc;
d1;314;342;b6a0;
d3;316;33e;bc44;
d7;312;33e;c1ec;
d9;316;33a;c790;
da;315;339;cd34;
dd;316;337;d2d8;
df;315;335;d880;
e0;314;335;de24;
e2;313;333;e3c8;
e2;316;330;e96c;
e4;311;32e;ef14;
e4;310;32d;f4b8;
e4;310;32b;fa5c;
e4;310;327;8;
e5;30d;325;4a8;
e5;30c;321;9f8;
e5;308;322;f48;
e5;308;321;1498;
e4;307;320;1a3c;
e3;307;31d;1fe0;
e2;304;31c;2588;
e0;306;31b;2b2c;
df;302;318;30d0;
dd;302;317;3674;
dc;303;316;3c20;
da;304;315;41c0;
d8;301;318;4764;
d5;302;314;4d08;
d3;302;314;52b0;
cf;300;314;5854;
cd;301;311;5df8;
c9;304;312;639c;
c6;302;311;6944;
c3;302;314;6ee8;
be;302;311;748c;
bb;302;314;7a30;
b9;300;310;7fd8;
b3;304;312;857c;
af;302;314;8b20;
ac;303;314;90c4;
a7;302;314;966c;
a3;301;314;9c14;
9e;303;313;a1b4;
9a;301;310;a758;
96;303;313;ad00;
91;301;315;b2a4;
8b;303;313;b848;
88;2ff;317;bdec;
84;306;314;c394;
7e;302;314;c938;
7b;301;316;cedc;
76;2ff;316;d480;
70;304;318;da28;
6d;305;319;dfcc;
67;304;319;e570;
63;304;319;eb14;
5f;301;31b;f0bc;
5a;303;31c;f660;
56;305;31f;fc0c;
52;306;31d;1a8;
4d;306;321;6f8;
4a;307;321;c48;
47;309;323;1198;
43;309;325;1740;
3e;30a;326;1ce4;
3b;30c;327;2288;
38;30e;32a;282c;
34;30d;32d;2dd4;
31;312;330;3378;
2e;313;330;391c;
2c;319;331;3ec0;
29;318;336;4468;
27;31e;334;4a0c;
24;320;339;4fb0;
22;31f;33c;5554;
21;31f;33d;5afc;
1f;325;33d;60a0;
1d;326;340;6644;
1c;329;342;6be8;
1b;32b;342;7190;
1a;32a;346;7734;
1a;32d;347;7cd8;
19;32e;349;827c;
19;32f;349;8824;
19;32f;34a;8dc8;
19;332;34c;936c;
19;330;34f;9910;
1a;332;351;9eb8;
1b;334;352;a45c;
1b;332;353;aa00;
1d;332;354;afa4;
1e;332;357;b54c;
1f;332;359;baf0;
22;332;356;c094;
24;334;358;c638;
26;333;359;cbe0;
28;332;357;d184;
2b;336;359;d728;
2e;32e;35d;dccc;
30;331;35d;e274;
33;338;35b;e81c;
37;332;35f;edbc;
3a;332;35f;f360;
3c;334;35d;f908;
42;335;35f;feac;
45;331;35f;450;
47;332;362;9a0;
4c;332;35d;ef0;
50;331;363;1440;
54;32f;35f;19e4;
59;32f;35f;1f8c;
5d;32f;360;2530;
61;32d;35f;2ad4;
66;330;35e;3078;
6b;32b;35e;3620;
6f;32a;35f;3bc4;
74;329;35f;4168;
78;328;35e;470c;
7c;326;35d;4cb4;
81;324;35d;5258;
85;324;35c;57fc;
8b;322;359;5da0;
8f;323;35c;6348;
93;323;356;68ec;
98;321;359;6e90;
9d;31f;359;7434;
a1;31e;356;79dc;
a6;31b;358;7f80;
aa;31c;355;8524;
ae;319;353;8ac8;
b2;318;34f;9070;
b6;319;351;9614;
b9;318;34e;9bb8;
bd;316;34c;a15c;
c0;315;34c;a704;
c3;315;34c;aca8;
c7;315;345;b24c;
ca;317;345;b7f0;
cf;318;343;bd98;
d1;318;341;c33c;
d4;318;33f;c8e0;
d6;31e;33e;ce84;
d8;315;33e;d42c;
db;318;33a;d9d0;
dd;31a;339;df74;
df;313;336;e518;
e1;313;335;eac0;
e2;314;331;f064;
e2;312;32d;f608;
e3;310;32e;fbac;
e4;313;32a;154;
e4;30b;329;6a4;
e4;30b;327;bf4;
e5;308;328;1144;
e5;309;324;16e8;
e4;309;323;1c8c;
e3;303;31e;2230;
e3;302;31e;27d8;
e2;304;31f;2d7c;
e2;300;31b;3320;
e0;301;31a;38c4;
de;300;318;3e6c;
dd;301;319;4414;
db;303;314;49b4;
d9;2fe;316;4f58;
d8;2ff;316;5500;
d5;301;315;5aa4;
d2;300;314;6048;
cf;302;313;65ec;
cc;300;313;6b94;
c9;300;312;7138;
c5;301;311;76dc;
c2;301;312;7c80;
bf;301;313;8228;
bb;302;314;87cc;
b8;302;311;8d70;
b3;301;316;9314;
b0;301;312;98bc;
ab;301;313;9e60;
a6;303;313;a40c;
a2;2ff;313;a9a8;
9e;300;312;af50;
9a;303;315;b4f4;
96;300;314;ba98;
90;2fe;310;c03c;
8b;2ff;314;c5e4;
88;302;313;cb88;
83;301;315;d12c;
7e;300;318;d6d0;
7a;2ff;314;dc78;
75;301;313;e21c;
71;300;31a;e7c0;
6c;302;317;ed64;
68;304;318;f30c;
62;304;319;f8b0;
5e;302;31a;fe54;
5a;305;31c;3f8;
56;306;31d;948;
51;306;31e;e98;
4d;30b;321;13e8;
4a;307;322;1990;
46;309;323;1f34;
42;30a;324;24d8;
3f;30c;325;2a7c;
3b;30e;329;3024;
37;30f;329;35c8;
34;30f;32e;3b6c;
31;313;32f;4110;
2e;315;331;46b8;
2c;318;333;4c5c;
29;319;334;5200;
26;31d;337;57a4;
26;31f;338;5d4c;
23;321;33c;62f0;
20;322;33f;6894;
1f;326;33e;6e38;
1d;325;340;73e0;
1c;327;342;7984;
1b;329;345;7f28;
1b;32a;344;84cc;
19;32e;347;8a74;
19;32f;346;901c;
19;32f;34b;95bc;
19;32e;34a;9b60;
19;32c;34d;a108;
19;32f;34d;a6ac;
19;332;351;ac50;
1a;332;34f;b1f4;
1c;332;351;b79c;
1c;332;353;bd40;
1e;332;356;c2e4;
20;332;357;c888;
21;333;355;ce30;
25;331;359;d3d4;
26;330;35a;d978;
28;32f;35a;df1c;
2a;332;35c;e4c4;
2d;331;35a;ea68;
30;32f;35b;f014;
34;334;35d;f5b0;
38;333;35e;fb58;
3a;332;35d;fc;
3d;333;35b;5f8;
40;333;35d;b48;
44;334;35d;1098;
48;32f;35d;163c;
4c;334;35f;1be0;
50;32f;35f;2184;
55;330;35b;272c;
58;32d;35f;2cd0;
5d;32c;360;3274;
61;32d;35e;3820;
66;32c;35d;3dc0;
6b;329;35f;4364;
6e;327;35d;4908;
73;328;35d;4eac;
79;328;35c;5454;
7c;326;35e;59f8;
81;326;35b;5f9c;
86;325;35d;6540;
8b;323;35d;6ae8;
8f;324;35a;708c;
94;324;35b;7630;
99;320;359;7bd4;
9c;31e;357;817c;
a1;31d;357;8720;
a5;31f;356;8cc4;
aa;31c;357;9268;
ad;31a;352;9814;
b2;31c;352;9db4;
b6;319;34f;a358;
b9;316;34e;a8fc;
be;316;349;aea4;
c1;317;34b;b448;
c4;319;349;b9ec;
c8;315;347;bf90;
ca;319;345;c538;
ce;317;345;cadc;
d0;312;342;d080;
d3;315;33f;d624;
d7;316;33e;dbcc;
d9;316;33f;e170;
db;314;33b;e714;
dd;315;337;ecb8;
de;312;337;f260;
df;314;335;f808;
e0;315;334;fda8;
e2;317;331;34c;
e3;312;32f;89c;
e4;312;32b;dec;
e5;313;32a;133c;
e4;30e;328;18e4;
e4;30d;329;1e88;
e5;30d;323;242c;
e5;309;322;29d0;
e5;30a;31f;2f78;
e3;309;31f;351c;
e3;305;319;3ac0;
e1;304;31c;4064;
e1;303;317;460c;
de;302;316;4bb0;
de;303;317;5154;
db;302;316;56f8;
d9;303;313;5ca0;
d7;301;315;6244;
d5;300;312;67e8;
d2;301;314;6d8c;
cf;300;314;7334;
cc;302;311;78d8;
c9;301;312;7e7c;
c6;302;313;8420;
c3;301;312;89c8;
be;302;312;8f6c;
bb;301;312;9510;
b6;300;312;9ab4;
b3;302;314;a05c;
af;305;313;a600;
ac;302;314;aba4;
a7;301;313;b148;
a3;303;313;b6f0;
9e;301;314;bc94;
98;305;315;c238;
95;303;315;c7dc;
91;303;313;cd84;
8b;302;312;d328;
87;301;314;d8cc;
83;303;315;de70;
7e;304;316;e41c;
7a;2ff;315;e9bc;
76;301;318;ef60;
70;303;314;f504;
6c;303;318;faac;
67;303;31a;50;
64;302;31a;54c;
60;305;31e;a9c;
5a;305;31c;fec;
57;306;31d;153c;
52;306;31c;1ae0;
4e;306;322;2084;
4a;306;322;2628;
47;30a;321;2bd0;
43;309;323;3174;
3e;30b;329;3718;
3b;310;328;3cbc;
39;30b;32c;4264;
35;310;32b;480c;
31;314;32f;4dac;
2f;314;330;5350;
2c;317;331;58f8;
29;319;334;5e9c;
26;31d;336;6440;
24;31b;338;69e4;
22;320;339;6f8c;
21;324;33b;7530;
1f;325;341;7ad4;
1d;326;33f;8078;
1c;327;342;8620;
1b;32d;346;8bc4;
19;32a;345;9168;
1a;32d;345;970c;
19;32f;348;9cb4;
18;334;34b;a258;
19;332;34a;a7fc;
18;331;34c;ada0;
19;334;350;b348;
1a;331;34e;b8ec;
1a;331;352;be90;
1b;333;351;c434;
1c;335;354;c9dc;
1e;331;355;cf80;
1f;332;357;d524;
21;334;356;dac8;
24;332;358;e070;
26;334;359;e614;
27;331;357;ebb8;
2b;333;35c;f15c;
2d;335;35b;f704;
31;333;35b;fca8;
33;332;35c;24c;
37;334;35e;79c;
39;332;35a;cec;
3d;333;35d;123c;
40;332;35c;17e0;
44;333;35d;1d88;
47;334;35e;232c;
4c;331;35f;28d0;
50;331;361;2e74;
54;331;35f;3420;
57;331;361;39c0;
5d;32b;361;3f64;
62;32b;35f;4508;
65;32c;35e;4ab0;
6b;32b;35f;5054;
6f;327;35e;55f8;
73;32a;35f;5b9c;
78;327;35e;6144;
7d;327;35c;66e8;
81;326;35b;6c8c;
85;325;35c;7230;
8b;323;35c;77d8;
8f;322;35a;7d7c;
94;320;35b;8320;
99;31f;359;88c4;
9d;320;35a;8e6c;
a1;31e;358;9414;
a6;31e;357;99b4;
a9;319;355;9f58;
ae;31a;355;a500;
b2;316;353;aaa4;
b6;31a;34f;b048;
ba;318;34f;b5ec;
bd;316;34c;bb94;
c1;317;34c;c138;
c5;315;349;c6dc;
c8;316;347;cc80;
ca;316;346;d228;
cd;316;343;d7cc;
d0;316;341;dd70;
d3;317;33d;e314;
d6;315;33e;e8bc;
d9;315;33d;ee60;
db;317;33b;f40c;
dc;314;338;f9a8;
df;312;336;ff50;
de;312;332;4f4;
e2;314;332;a44;
e3;314;330;f94;
e4;312;32e;14e4;
e5;311;32b;1a88;
e5;313;327;202c;
e4;30e;327;25d4;
e5;30d;326;2b78;
e6;30d;323;311c;
e5;30a;322;36c0;
e5;30a;321;3c68;
e3;305;31d;420c;
e2;304;31c;47b0;
e2;304;31c;4d54;
df;300;319;52fc;
df;301;318;58a0;
dd;2ff;316;5e44;
dc;301;318;63e8;
d9;2ff;314;6990;
d8;2ff;313;6f34;
d5;301;314;74d8;
d2;302;313;7a7c;
d0;2fd;312;8024;
cd;302;312;85c8;
c9;303;310;8b6c;
c6;300;313;9110;
c3;301;314;96b8;
be;302;313;9c5c;
bb;302;313;a200;
b8;300;310;a7a4;
b4;2fe;312;ad4c;
b0;302;313;b2f0;
ac;301;314;b894;
a7;303;314;be38;
a2;300;313;c3e0;
9d;303;314;c984;
99;302;312;cf28;
95;300;315;d4cc;
91;303;311;da74;
8c;301;313;e01c;
87;2ff;315;e5bc;
83;302;318;eb60;
7e;301;314;f108;
79;301;317;f6ac;
75;300;316;fc50;
71;303;314;1f4;
6c;303;315;744;
68;303;31a;c94;
64;306;318;11e4;
60;304;31b;178c;
5c;309;31d;1d30;
56;308;31a;22d4;
53;308;31f;2878;
4f;308;320;2e20;
4a;307;320;33c4;
46;309;323;3968;
43;30a;325;3f0c;
3e;30c;327;44b4;
3b;311;32b;4a58;
38;30f;329;4ffc;
35;312;32b;55a0;
31;311;330;5b48;
2f;315;331;60ec;
2b;317;332;6690;
29;319;335;6c34;
27;31b;337;71dc;
24;31f;338;7780;
23;320;33a;7d24;
20;322;33c;82c8;
1f;325;33e;8870;
1e;324;340;8e14;
1c;327;341;93b8;
1b;328;33f;995c;
1a;329;346;9f04;
19;32a;348;a4a8;
18;32d;347;aa4c;
18;32f;349;aff0;
18;32d;34a;b598;
19;332;34b;bb3c;
19;332;34e;c0e0;
1a;331;34f;c684;
1b;334;352;cc2c;
1b;332;353;d1d0;
1d;331;354;d774;
1e;334;355;dd18;
20;333;35b;e2c0;
22;331;357;e864;
24;334;358;ee08;
27;331;359;f3ac;
29;330;358;f954;
2b;334;35b;fef8;
2d;331;35a;49c;
31;333;35b;9ec;
33;331;35d;f3c;
36;331;35d;148c;
3a;333;35e;1a30;
3d;334;35d;1fd8;
40;331;35f;257c;
45;335;35f;2b20;
48;330;35f;30c4;
4d;331;35e;366c;
51;333;35e;3c14;
54;330;35d;41b4;
59;32f;35d;4758;
5d;32f;35f;4d00;
61;32e;35e;52a4;
66;32c;360;5848;
6b;32b;362;5dec;
6e;32a;360;6394;
73;328;35e;6938;
78;325;35c;6edc;
7e;326;35c;7480;
82;324;35d;7a28;
87;327;35d;7fcc;
8b;322;35c;8570;
90;322;35c;8b14;
94;321;35a;90bc;
98;31e;357;9660;
9d;31d;358;9c0c;
a1;31b;358;a1a8;
a5;317;354;a750;
aa;31a;354;acf4;
ae;319;355;b298;
b3;319;352;b83c;
b6;316;350;bde4;
ba;31b;34f;c388;
bd;31b;34b;c92c;
c1;316;34a;ced0;
c5;315;34b;d478;
c7;316;346;da1c;
cc;319;346;dfc0;
cf;319;344;e564;
d0;317;341;eb0c;
d3;31a;33f;f0b0;
d7;318;33d;f654;
d8;31a;33d;fbf8;
db;319;33a;1a0;
dc;316;336;6f0;
de;313;336;c40;
df;313;335;1190;
e2;313;332;1734;
e3;311;330;1cd8;
e4;310;331;227c;
e5;30f;32b;2824;
e5;30e;326;2dc8;
e5;30b;324;336c;
e6;30a;324;3910;
e5;308;323;3eb8;
e4;308;321;445c;
e5;304;320;4a00;
e3;302;31b;4fa4;
e2;300;31c;554c;
e2;300;31b;5af0;
df;301;318;6094;
df;302;319;6638;
dd;300;316;6be0;
db;302;316;7184;
d8;300;316;7728;
d8;301;314;7ccc;
d4;302;313;8274;
d1;300;314;881c;
cf;2ff;312;8dbc;
cc;301;312;9360;
c9;301;311;9908;
c6;302;314;9eac;
c3;302;311;a450;
bf;300;312;a9f4;
ba;301;313;af9c;
b7;302;313;b540;
b4;2fc;313;bae4;
b0;300;314;c088;
aa;302;311;c630;
a5;2fc;311;cbd4;
a2;2ff;314;d178;
9e;300;312;d71c;
99;300;313;dcc4;
95;300;314;e268;
90;302;314;e814;
8c;301;313;edb0;
86;2fe;314;f358;
83;301;315;f8fc;
7e;301;315;fea0;
7a;300;319;444;
75;303;316;994;
70;2ff;316;ee4;
6c;301;318;1434;
67;302;318;19dc;
63;303;31b;1f80;
5f;307;31c;2524;
5b;307;31e;2ac8;
56;302;31e;3070;
51;305;31c;3614;
4e;309;31b;3bb8;
4a;308;322;415c;
46;30a;321;4704;
42;30e;324;4ca8;
3e;30d;326;524c;
3a;30f;327;57f0;
37;312;329;5d98;
34;312;32d;633c;
31;314;32e;68e0;
2e;317;332;6e84;
2c;318;333;742c;
28;31b;336;79d0;
25;31c;338;7f74;
24;321;337;8518;
22;320;338;8ac0;
20;322;339;9064;
1e;325;33d;9608;
1d;326;33f;9bac;
1c;328;33f;a154;
1b;32a;345;a6f8;
1b;32a;346;ac9c;
19;32b;343;b240;
19;32a;34b;b7e8;
19;32b;348;bd8c;
18;330;34c;c330;
19;330;34f;c8d4;
19;330;351;ce7c;
19;332;351;d420;
1a;331;352;d9c4;
1c;331;354;df68;
1d;331;351;e510;
1e;331;356;eab4;
20;331;358;f058;
22;330;357;f5fc;
24;331;358;fba4;
26;331;35c;148;
28;332;35f;698;
2b;332;359;be8;
2d;333;35c;1138;
30;331;35c;16dc;
33;330;35d;1c80;
37;331;35c;2228;
3a;330;35f;27cc;
3d;332;361;2d70;
41;332;360;3314;
44;332;360;38bc;
49;330;361;3e60;
4c;331;35d;440c;
51;332;35f;49a8;
54;32d;35f;4f50;
59;32d;35f;54f4;
5e;32e;35e;5a98;
62;32c;360;603c;
67;32c;35b;65e4;
6b;32c;35d;6b88;
70;325;35f;712c;
74;329;35e;76d0;
79;328;35e;7c78;
7e;324;35f;821c;
83;326;35d;87c0;
87;324;35b;8d64;
8c;324;359;930c;
90;321;35c;98b0;
94;31e;35a;9e54;
99;320;35a;a3f8;
9c;320;35c;a9a0;
a1;31c;356;af44;
a6;31c;357;b4e8;
aa;319;355;ba8c;
ae;318;354;c034;
b3;318;353;c5d8;
b8;317;34f;cb7c;
ba;318;34e;d120;
bd;317;34d;d6c8;
c1;31a;34a;dc6c;
c6;315;348;e210;
c8;317;347;e7b4;
cb;317;346;ed5c;
ce;317;342;f300;
d1;317;33f;f8a4;
d3;315;33f;fe48;
d7;313;33d;3f0;
d9;314;33c;940;
db;315;33d;e90;
dd;316;338;13e0;
de;317;334;1984;
e0;317;334;1f28;
e0;315;32f;24cc;
e2;311;330;2a74;
e4;313;32d;301c;
e3;312;32b;35bc;
e5;310;328;3b60;
e5;310;327;4108;
e5;30f;323;46ac;
e5;30e;322;4c50;
e5;30e;322;51f4;
e4;30e;322;579c;
e4;30b;31f;5d40;
e3;30c;31e;62e4;
e2;30c;31d;6888;
e0;308;31c;6e30;
df;306;318;73d4;
dd;307;319;7978;
db;305;316;7f1c;
d9;304;316;84c4;
d7;303;315;8a68;
d5;304;316;9014;
d1;303;311;95b0;
cf;304;311;9b58;
cb;301;314;a0fc;
c9;304;30f;a6a0;
c5;304;313;ac44;
c2;303;313;b1ec;
be;306;310;b790;
ba;304;312;bd34;
b6;305;315;c2d8;
b3;303;312;c880;
af;306;313;ce24;
ab;304;313;d3c8;
a6;303;312;d96c;
a1;306;314;df14;
9d;303;314;e4b8;
9a;303;314;ea5c;
93;305;312;f008;
90;304;314;f5a8;
8b;303;315;fb4c;
86;306;315;f0;
83;302;312;5ec;
7f;306;316;b3c;
7a;304;316;108c;
76;305;316;1630;
71;306;319;1bd4;
6d;302;319;217c;
67;305;31b;2720;
63;304;31a;2cc4;
5e;304;317;3268;
5a;307;31a;3814;
56;306;31b;3db4;
51;309;31f;4358;
4e;307;320;48fc;
4a;306;322;4ea4;
46;30a;326;5448;
42;30b;326;59ec;
3e;30e;327;5f90;
3b;30c;32a;6538;
38;30b;328;6adc;
34;310;32c;7080;
31;312;32f;7624;
2e;313;331;7bcc;
2b;319;333;8170;
29;318;336;8714;
27;31b;337;8cb8;
24;31e;339;9260;
22;31d;33c;9808;
20;323;33c;9da8;
1e;322;33d;a34c;
1d;326;340;a8f4;
1c;328;341;ae98;
1b;329;341;b43c;
1a;32d;343;b9e0;
19;330;346;bf88;
19;32e;347;c52c;
18;32f;34a;cad0;
19;330;34d;d074;
19;331;34d;d61c;
19;333;351;dbc0;
1a;332;350;e164;
1b;333;351;e708;
1d;331;353;ecb0;
1d;332;355;f254;
1f;334;355;f7f8;
20;332;355;fd9c;
22;337;358;344;
24;331;357;894;
26;333;359;de4;
28;332;359;1334;
2b;334;35b;18d8;
2e;331;35d;1e7c;
31;332;35d;2420;
33;332;35b;29c8;
36;333;35c;2f6c;
3a;333;35c;3510;
3d;332;35b;3ab4;
41;332;35c;405c;
45;332;360;4600;
49;332;35d;4ba4;
4d;334;35b;5148;
50;331;360;56f0;
55;330;35d;5c94;
59;32d;361;6238;
5e;32d;35f;67dc;
62;32d;360;6d84;
67;32d;35e;7328;
6b;32d;35f;78cc;
70;32b;35d;7e70;
75;328;360;841c;
79;329;35d;89bc;
7e;327;35d;8f60;
83;326;35f;9504;
87;323;35c;9aac;
8b;324;35c;a050;
90;321;359;a5f4;
95;320;358;ab98;
99;321;35b;b140;
9d;318;358;b6e4;
a2;31b;357;bc88;
a6;31c;354;c22c;
ab;319;356;c7d4;
af;318;354;cd78;
b3;318;354;d31c;
b7;319;34f;d8c0;
bb;315;350;de68;
be;31a;34b;e410;
c2;318;34b;e9b0;
c5;31d;34a;ef54;
c8;317;348;f4fc;
cc;317;346;faa0;
cf;318;343;44;
d2;316;342;540;
d3;317;341;a90;
d5;317;33d;fe0;
d8;316;33e;1530;
da;318;339;1ad4;
dc;314;338;2078;
df;313;336;2620;
de;314;332;2bc4;
e1;315;332;3168;
e2;317;330;370c;
e3;315;32e;3cb4;
e4;310;32c;4258;
e5;312;329;47fc;
e5;30d;329;4da0;
e6;30d;326;5348;
e5;30c;323;58ec;
e5;309;31f;5e90;
e5;307;31f;6434;
e4;303;31c;69dc;
e2;305;31b;6f80;
e2;303;31b;7524;
df;300;31a;7ac8;
df;302;318;8070;
dd;2ff;31b;8614;
db;2ff;315;8bb8;
d9;300;315;915c;
d7;300;314;9704;
d4;301;314;9ca8;
d1;301;30f;a24c;
cf;301;311;a7f0;
cc;300;312;ad98;
c9;303;315;b33c;
c5;301;312;b8e0;
c2;303;312;be84;
be;301;312;c42c;
bb;302;313;c9d0;
b8;2ff;312;cf74;
b4;301;311;d518;
af;300;312;dac0;
ab;302;312;e064;
a7;302;310;e608;
a2;300;314;ebac;
9e;302;311;f154;
9a;302;313;f6f8;
95;301;313;fc9c;
91;2ff;312;240;
8c;300;314;790;
88;304;314;ce0;
83;302;313;1230;
7e;301;315;17d8;
7b;301;316;1d7c;
76;302;315;2320;
71;302;317;28c4;
6c;303;318;2e6c;
68;304;319;3414;
62;301;317;39b4;
5e;302;31a;3f58;
5b;307;31c;4500;
57;304;31e;4aa4;
52;308;320;5048;
4f;306;31f;55ec;
4a;308;323;5b94;
45;30c;323;6138;
42;30a;326;66dc;
3e;30b;327;6c80;
3b;30d;32b;7228;
38;30e;329;77cc;
34;312;32c;7d70;
31;313;32d;8314;
2f;313;330;88bc;
2b;316;331;8e60;
28;31c;335;940c;
27;31d;337;99a8;
23;320;338;9f50;
23;31f;33c;a4f4;
20;323;33c;aa98;
1e;326;33d;b03c;
1d;323;33e;b5e4;
1c;32c;342;bb88;
1b;32c;343;c12c;
1a;32c;345;c6d0;
