;04;31a;b1f4;
21;332;345;d420;
25;334;348;d9c4;
27;336;345;df6c;
2c;336;349;e510;
30;335;34a;eab4;
34;335;34d;f058;
3a;333;350;f600;
3f;334;34f;fba4;
45;335;354;148;
4b;335;352;698;
52;332;356;be8;
58;332;357;1138;
60;32f;353;16dc;
67;32f;357;1c84;
6e;32d;356;2228;
76;32d;355;27cc;
7d;32a;355;2d70;
84;327;357;3318;
8c;325;355;38bc;
92;322;356;3e60;
9a;321;356;440c;
a1;320;355;49ac;
a8;31c;355;4f50;
af;319;357;54f4;
b5;313;354;5a98;
bb;313;351;6040;
c1;312;354;65e4;
c6;311;355;6b88;
cc;30e;351;712c;
d1;304;34f;76d4;
d5;30a;34d;7c78;
d8;309;34e;821c;
db;30d;34b;87c0;
de;309;348;8d68;
e0;308;342;930c;
e2;308;344;98b0;
e4;30a;33f;9e54;
e5;309;340;a3fc;
e6;307;33c;a9a0;
e5;308;33b;af44;
e5;308;337;b4e8;
e3;308;336;ba90;
e0;308;331;c034;
df;306;331;c5d8;
dc;307;32e;cb7c;
d8;307;32c;d124;
d4;307;328;d6c8;
d0;306;326;dc6c;
cc;308;326;e210;
c6;30a;322;e7b8;
c1;303;324;ed5c;
bb;307;31f;f300;
b5;308;31d;f8a4;
af;308;31c;fe4c;
a8;304;31c;3f0;
a1;308;31d;940;
9b;307;31d;e90;
94;306;31e;13e0;
8c;309;31a;1984;
85;306;31b;1f28;
7e;308;31c;24d0;
75;306;318;2a74;
6f;304;31b;3020;
68;307;318;35bc;
5f;308;31a;3b64;
59;308;31c;4108;
53;303;31d;46ac;
4c;30a;31d;4c50;
46;307;31d;51f8;
3f;309;31f;579c;
3a;30c;31f;5d40;
35;30d;326;62e4;
2f;30e;324;688c;
2b;30f;323;6e30;
27;311;326;73d4;
23;315;32c;7978;
20;317;32d;7f20;
1d;31c;32f;84c4;
1b;31f;333;8a68;
1b;323;333;9014;
1a;323;334;95b4;
19;328;337;9b58;
19;32c;33b;a0fc;
19;32c;337;a6a0;
1b;32f;33e;ac48;
1b;331;340;b1ec;
1e;333;342;b790;
21;331;345;bd34;
24;334;347;c2dc;
28;335;347;c880;
2c;336;34a;ce24;
31;335;34b;d3c8;
36;334;34e;d970;
3b;333;350;df14;
41;335;34e;e4b8;
47;333;351;ea5c;
4d;335;350;f008;
54;333;351;f5a8;
5a;32f;354;fb4c;
61;32f;355;f0;
68;32f;355;5ec;
6f;329;357;b3c;
76;32c;356;108c;
7d;329;359;1630;
84;328;358;1bd8;
8b;326;358;217c;
94;322;356;2720;
9b;320;356;2cc4;
a1;31c;35a;326c;
a9;31b;355;3814;
b0;31a;353;3db4;
b5;317;355;4358;
bb;317;355;4900;
c2;30f;352;4ea4;
c7;311;34c;5448;
cd;30d;351;59ec;
d0;30d;34f;5f94;
d5;30c;34c;6538;
d9;30b;34f;6adc;
dc;309;34c;7080;
df;30a;348;7628;
e1;309;345;7bcc;
e3;306;344;8170;
e5;309;342;8714;
e6;309;33c;8cbc;
e5;304;33c;9260;
e4;307;339;980c;
e2;308;338;9da8;
e3;304;334;a350;
e0;307;332;a8f4;
df;308;331;ae98;
dc;30a;32d;b43c;
d8;308;32c;b9e4;
d3;307;327;bf88;
cf;308;328;c52c;
ca;307;324;cad0;
c5;309;322;d078;
c0;308;31f;d61c;
ba;307;31e;dbc0;
b4;306;31e;e164;
ae;308;31c;e70c;
a7;307;31b;ecb0;
a1;305;31c;f254;
98;306;31a;f7f8;
91;308;317;fda0;
8a;307;31b;344;
83;307;316;894;
7d;307;31c;de4;
75;307;31a;1334;
6e;307;31e;18d8;
66;306;319;1e7c;
60;305;31a;2424;
58;30a;31c;29c8;
51;306;31b;2f6c;
4a;30c;31e;3510;
44;308;31f;3ab8;
3f;30a;320;405c;
39;30c;321;4600;
35;30a;324;4ba4;
30;30d;322;514c;
2b;30e;329;56f0;
27;312;329;5c94;
23;316;328;6238;
21;318;32d;67e0;
1e;31b;32f;6d84;
1b;31f;331;7328;
1a;321;332;78cc;
1a;325;335;7e74;
19;327;336;841c;
19;328;339;89bc;
1a;32a;33a;8f60;
1b;332;33f;9508;
1c;333;33f;9aac;
1e;331;343;a050;
21;332;343;a5f4;
25;331;348;ab9c;
28;332;347;b140;
2d;333;34a;b6e4;
31;335;34d;bc88;
37;336;34d;c230;
3b;334;34d;c7d4;
42;335;353;cd78;
48;333;352;d31c;
4e;334;354;d8c4;
54;334;352;de68;
5b;32f;352;e414;
63;32e;355;e9b0;
69;32d;356;ef58;
71;32f;355;f4fc;
78;32b;356;faa0;
7f;329;357;44;
86;328;358;540;
8d;326;357;a90;
93;323;358;fe0;
9b;324;356;1530;
a2;31e;357;1ad4;
a9;31c;355;207c;
af;31c;356;2620;
b6;318;353;2bc4;
bc;316;353;3168;
c2;312;350;3710;
c8;310;353;3cb4;
cd;30f;353;4258;
d1;30c;350;47fc;
d6;30f;34a;4da4;
d9;30b;349;5348;
dd;30b;34a;58ec;
df;309;348;5e90;
e2;30a;346;6438;
e4;308;342;69dc;
e4;307;341;6f80;
e5;30a;33e;7524;
e6;309;33c;7acc;
e5;307;33a;8070;
e4;303;337;8614;
e3;306;337;8bb8;
e1;306;336;9160;
de;306;332;9704;
db;307;32d;9ca8;
d7;305;32a;a24c;
d2;304;328;a7f4;
cf;305;326;ad98;
c9;309;327;b33c;
c5;306;321;b8e0;
c0;304;320;be88;
ba;307;31d;c42c;
b4;304;31d;c9d0;
ae;306;31c;cf74;
a7;307;31a;d51c;
9f;304;31a;dac0;
99;302;31b;e064;
92;305;31a;e608;
89;306;318;ebb0;
82;305;31c;f154;
7b;305;319;f6f8;
73;309;319;fc9c;
6c;306;317;244;
65;307;319;794;
5f;303;31a;ce4;
58;306;31a;1234;
51;305;31d;17d8;
4b;306;31d;1d7c;
43;308;31e;2320;
3e;307;31f;28c8;
39;30a;321;2e6c;
33;308;321;3418;
2f;30e;325;39b4;
2b;313;327;3f5c;
27;30f;32b;4500;
24;317;32a;4aa4;
1f;318;32c;5048;
1d;31a;330;55f0;
1c;320;332;5b94;
1a;326;333;6138;
19;323;333;66dc;
19;329;33a;6c84;
19;32d;33a;7228;
19;32f;33e;77cc;
1a;32f;340;7d70;
1d;331;340;8318;
1f;332;341;88bc;
22;331;343;8e60;
25;333;346;940c;
29;333;349;99ac;
2d;335;34b;9f50;
31;336;34d;a4f4;
36;335;34f;aa98;
3c;335;352;b040;
41;334;350;b5e4;
47;335;353;bb88;
4e;333;354;c12c;
54;334;355;c6d4;
5c;331;355;cc78;
63;32e;352;d21c;
6a;330;355;d7c0;
72;32c;357;dd68;
79;32d;354;e30c;
80;329;357;e8b0;
87;325;356;ee54;
8f;323;357;f3fc;
96;31f;35a;f9a0;
9d;31f;357;ff44;
a4;31d;355;4e8;
aa;31a;353;a38;
b0;319;355;f88;
b7;316;354;14d8;
bc;311;352;1a80;
c3;311;353;2024;
c8;30d;352;25c8;
cd;30e;34f;2b6c;
d2;30b;350;3114;
d6;308;34d;36b8;
d9;30a;34b;3c5c;
dd;308;347;4200;
e0;308;346;47a8;
e0;309;343;4d4c;
e4;309;344;52f0;
e5;309;33f;5894;
e5;307;33c;5e3c;
e5;306;33b;63e0;
e5;309;338;6984;
e4;309;338;6f28;
e3;307;334;74d0;
e0;30a;333;7a74;
de;309;32e;8020;
db;30a;32e;85bc;
d6;307;32b;8b64;
d4;30b;326;9108;
cf;308;327;96ac;
ca;307;324;9c50;
c4;306;322;a1f8;
bf;305;323;a79c;
b9;308;321;ad40;
b3;306;31f;b2e4;
ac;309;31e;b88c;
a6;306;31c;be30;
9e;30a;318;c3d4;
97;308;319;c978;
91;308;31a;cf20;
88;309;31a;d4c4;
81;306;31e;da68;
7a;30a;31b;e014;
73;307;31a;e5b4;
6b;309;31d;eb58;
64;306;31c;f0fc;
5d;30a;31b;f6a0;
56;305;319;fc48;
4f;308;31d;1ec;
4a;309;31f;73c;
43;309;31e;c8c;
3d;30d;320;11dc;
38;30c;31e;1780;
33;30d;322;1d24;
2f;30d;325;22cc;
29;310;323;2870;
26;311;32b;2e14;
23;313;32c;33b8;
1f;31c;32b;3960;
1d;31d;32e;3f04;
1b;31d;334;44a8;
1a;322;335;4a4c;
1a;323;338;4ff4;
19;327;339;5598;
19;329;33b;5b3c;
19;32d;33b;60e0;
1b;32d;33f;6688;
1c;32e;343;6c2c;
20;331;343;71d0;
21;335;345;7774;
24;334;346;7d1c;
2a;335;349;82c0;
2e;333;34c;8864;
32;336;34a;8e08;
37;336;34e;93b0;
3d;335;350;9954;
43;334;353;9ef8;
49;333;352;a49c;
4f;336;351;aa44;
56;334;354;afe8;
5d;32f;356;b58c;
64;32d;358;bb30;
6b;32e;354;c0d8;
72;32d;357;c67c;
7a;32a;35b;cc20;
81;329;355;d1c4;
89;324;356;d76c;
90;324;357;dd10;
97;322;355;e2b4;
9f;320;357;e858;
a6;31b;356;ee00;
ac;318;353;f3a4;
b3;318;358;f948;
b9;318;356;feec;
bf;312;353;494;
c5;312;352;9e4;
c9;308;34f;f34;
ce;30d;351;1484;
d2;309;34d;1a28;
d6;30b;34d;1fcc;
da;30a;34a;2570;
dd;30a;348;2b18;
e0;30a;346;30bc;
e2;306;346;3660;
e4;308;343;3c0c;
e3;308;341;41ac;
e5;30a;33e;4750;
e6;305;33b;4cf4;
e4;308;33d;5298;
e3;307;336;5840;
e2;308;335;5de4;
e0;307;332;6388;
dd;308;32f;692c;
db;304;32d;6ed4;
d6;307;32c;7478;
d2;309;329;7a1c;
ce;307;323;7fc0;
ca;307;324;8568;
c4;307;320;8b0c;
bd;307;320;90b0;
b8;307;31c;9654;
b1;306;31d;9bfc;
ab;305;319;a1a0;
a5;308;31c;a744;
9d;308;31a;ace8;
96;308;319;b290;
8f;306;319;b834;
87;307;319;bdd8;
80;303;31b;c37c;
79;309;319;c924;
71;308;319;cec8;
6b;305;31c;d46c;
63;306;31c;da10;
5c;308;31b;dfb8;
55;306;31d;e55c;
4f;306;31d;eb00;
48;30a;320;f0a4;
42;30b;31d;f64c;
3d;309;322;fbf0;
36;30b;321;194;
32;30e;324;6e4;
2d;310;327;c34;
29;311;329;1184;
26;314;32a;1728;
22;315;32a;1cd0;
1f;31a;330;2274;
1d;31c;32f;2820;
1b;31d;330;2dbc;
19;326;333;3364;
19;324;336;3908;
19;327;336;3eac;
19;32b;339;4450;
1a;32a;33e;49f8;
1c;332;33f;4f9c;
1d;332;341;5540;
20;331;344;5ae4;
23;333;345;608c;
25;334;347;6630;
2a;334;347;6bd4;
2e;335;34a;7178;
32;333;34b;7720;
38;334;34f;7cc4;
3d;332;353;8268;
43;334;353;8814;
4a;332;351;8db4;
4f;336;354;9358;
56;32f;351;98fc;
5e;32e;355;9ea0;
65;32f;355;a448;
6c;32d;354;a9ec;
74;32c;357;af90;
7b;32b;358;b534;
82;32a;358;badc;
89;325;357;c080;
91;323;359;c624;
98;322;357;cbc8;
a0;31f;357;d170;
a7;31d;355;d714;
ad;319;354;dcb8;
b4;317;355;e25c;
ba;315;355;e808;
c0;311;353;eda8;
c6;30f;354;f34c;
cb;30d;353;f8f0;
d0;30d;34e;fe98;
d4;30b;34f;43c;
d8;30b;34b;98c;
db;309;34b;edc;
dd;309;349;142c;
df;307;343;19d0;
e2;307;346;1f74;
e3;30b;340;251c;
e5;304;33e;2ac0;
e5;305;33d;3064;
e6;308;33a;3608;
e5;306;338;3bb0;
e2;306;334;4154;
e2;306;334;46f8;
e0;30b;333;4c9c;
dc;30a;330;5244;
da;307;32e;57e8;
d6;307;329;5d8c;
d2;307;325;6330;
cd;308;326;68d8;
c8;308;322;6e7c;
c3;308;31e;7420;
be;308;31f;79c4;
b8;307;31c;7f6c;
b1;308;31b;8510;
ab;301;31a;8ab4;
a4;304;31d;9058;
9c;307;31a;9600;
96;305;317;9ba4;
8e;307;31d;a148;
86;306;319;a6ec;
7f;305;318;ac94;
78;309;319;b238;
6f;307;319;b7dc;
68;308;319;bd80;
61;309;31c;c328;
5b;30a;31b;c8cc;
53;306;31e;ce70;
4d;30a;31d;d41c;
46;308;31e;d9bc;
41;30c;321;df60;
3b;307;320;e504;
36;30d;31f;eaa8;
31;30e;324;f050;
2c;30f;328;f5f4;
28;314;329;fb98;
25;314;32a;13c;
21;318;32b;68c;
1f;319;32f;bdc;
1c;31d;332;112c;
1b;323;333;16d4;
18;325;333;1c78;
19;323;336;221c;
19;328;33a;27c0;
19;32a;33b;2d68;
1a;32e;33a;330c;
1c;32f;340;38b0;
1d;332;343;3e54;
20;331;344;43fc;
23;332;349;49a0;
27;336;34b;4f44;
2a;335;349;54e8;
2f;335;34c;5a90;
33;333;34d;6034;
38;331;34f;65d8;
3f;333;350;6b7c;
44;334;353;7124;
4a;334;353;76c8;
51;331;352;7c6c;
58;330;353;8210;
5f;330;353;87b8;
66;330;355;8d5c;
6d;32f;359;9300;
75;32b;356;98a4;
7c;32b;359;9e4c;
84;327;359;a3f0;
8a;327;355;a994;
92;322;355;af38;
99;320;355;b4e0;
a1;317;356;ba84;
a8;319;358;c028;
ae;31a;353;c5cc;
b5;314;356;cb74;
b9;310;354;d118;
c0;316;350;d6bc;
c6;311;352;dc60;
cb;30d;351;e208;
cf;30c;34e;e7ac;
d3;30b;34d;ed50;
d8;30e;34c;f2f4;
dc;309;34b;f89c;
df;309;346;fe40;
e1;308;346;3e4;
e3;306;344;934;
e4;309;340;e84;
e4;309;340;13d4;
e6;308;33b;1978;
e5;309;339;1f20;
e4;309;33a;24c4;
e4;307;335;2a68;
e2;308;334;3014;
e0;305;32f;35b4;
dc;306;32d;3b58;
da;308;329;40fc;
d5;30a;32c;46a0;
d1;307;328;4c48;
cd;308;325;51ec;
c7;307;322;5790;
c2;309;321;5d34;
bc;304;31f;62dc;
b6;307;31e;6880;
ae;306;31a;6e24;
a9;306;31e;73c8;
a2;306;31c;7970;
9b;306;31b;7f14;
94;306;31c;84b8;
8d;304;319;8a5c;
85;308;31a;9008;
7e;303;318;95a8;
77;306;319;9b4c;
6f;307;319;a0f0;
68;305;31a;a698;
60;307;318;ac3c;
5a;305;31a;b1e0;
53;302;31d;b784;
4d;309;31d;bd2c;
45;30a;31d;c2d0;
40;30c;31f;c874;
3b;30c;320;ce18;
34;30c;322;d3c0;
30;30d;325;d964;
2c;311;327;df08;
27;314;329;e4ac;
24;312;32c;ea54;
21;318;32c;eff8;
1e;31c;32f;f59c;
1d;31c;332;fb40;
1a;321;333;e8;
19;321;336;5e0;
19;325;337;b30;
18;32a;336;1080;
18;329;33a;1628;
1b;32d;33d;1bcc;
1b;330;33f;2170;
1e;330;343;2714;
1f;333;343;2cbc;
23;334;345;3260;
27;334;349;380c;
2b;335;34a;3da8;
30;334;349;4350;
34;333;34e;48f4;
3a;334;34e;4e98;
3f;336;34d;543c;
45;335;351;59e4;
4c;331;353;5f88;
51;334;353;652c;
58;332;354;6ad0;
60;32e;356;7078;
66;32f;353;761c;
6e;32e;356;7bc0;
76;32d;356;8164;
7c;328;35b;870c;
84;326;358;8cb0;
8c;325;357;9254;
93;324;351;97f8;
9a;322;358;9da0;
a1;320;356;a344;
a8;31c;354;a8e8;
af;317;356;ae8c;
b6;319;353;b434;
bb;315;353;b9d8;
c1;310;354;bf7c;
c7;310;352;c520;
cb;310;352;cac8;
d1;309;34e;d06c;
d5;30b;34f;d610;
d9;30d;349;dbb4;
dc;30a;349;e15c;
df;30c;349;e700;
e1;309;346;eca4;
e3;30b;341;f248;
e5;305;342;f7f0;
e5;308;342;fd94;
e6;308;33d;338;
e5;307;33a;888;
e5;308;33b;dd8;
e3;307;338;1328;
e2;309;333;18cc;
de;308;332;1e74;
dc;304;32e;241c;
d9;308;329;29bc;
d6;30a;32b;2f60;
d0;303;327;3508;
cc;307;326;3aac;
c7;308;320;4050;
c2;308;322;45f4;
bc;305;31e;4b9c;
b6;307;31a;5140;
b0;303;31e;56e4;
a9;305;31c;5c88;
a2;306;31b;6230;
9b;306;31c;67d4;
94;304;31c;6d78;
8b;306;31b;731c;
84;305;319;78c4;
7e;307;31c;7e68;
76;307;31a;8414;
6e;306;31b;89b0;
67;305;31a;8f58;
60;304;31b;94fc;
59;306;31b;9aa0;
53;302;31c;a044;
4b;307;31e;a5ec;
46;304;31b;ab90;
40;306;320;b134;
3a;308;31f;b6d8;
35;30c;327;bc80;
2f;30d;325;c224;
2b;310;327;c7c8;
26;313;328;cd6c;
24;313;327;d314;
20;318;32b;d8b8;
1e;31c;32e;de5c;
1c;322;331;e408;
1b;327;331;e9a8;
19;326;336;ef4c;
19;32b;337;f4f0;
18;32e;339;fa94;
1a;32b;33c;3c;
1a;32f;33d;534;
1b;332;33f;a84;
1d;331;344;fd4;
20;332;344;1524;
23;331;344;1acc;
26;336;349;2070;
2b;335;34a;2614;
30;333;34c;2bb8;
34;333;34e;3160;
3a;331;350;3704;
40;335;34f;3ca8;
45;334;351;424c;
4b;334;352;47f4;
53;333;356;4d98;
59;332;356;533c;
60;331;355;58e0;
67;32f;357;5e88;
6e;32c;354;642c;
76;32e;357;69d0;
7d;32a;357;6f74;
84;32b;358;751c;
8b;325;358;7ac0;
93;325;355;8064;
9a;321;355;8608;
a2;31f;354;8bb0;
a9;31c;356;9154;
af;319;354;96f8;
b5;315;356;9c9c;
bc;315;353;a244;
c1;310;350;a7e8;
c7;311;352;ad8c;
cc;30d;34f;b330;
d1;30c;34f;b8d8;
d5;30c;34d;be7c;
d9;309;34b;c420;
db;30a;34a;c9c4;
de;307;348;cf6c;
e2;308;345;d510;
e3;309;342;dab4;
e4;308;341;e058;
e5;307;33f;e600;
e5;306;33b;eba4;
e5;307;33a;f148;
e3;307;335;f6ec;
e2;308;337;fc94;
e0;308;333;238;
de;308;32d;788;
db;308;331;cd8;
d9;309;32d;1228;
d5;30b;329;17cc;
d1;306;328;1d70;
cc;309;328;2318;
c7;30a;324;28bc;
c2;309;31f;2e60;
bc;308;320;340c;
b5;309;31c;39ac;
af;307;31c;3f50;
a9;305;31c;44f4;
a1;309;31d;4a98;
9a;307;319;5040;
93;309;318;55e4;
8c;306;31b;5b88;
84;30a;316;612c;
7d;308;31a;66d4;
76;308;31b;6c78;
6e;307;319;721c;
67;309;31a;77c0;
5f;306;31c;7d68;
58;308;31a;830c;
52;309;31f;88b0;
4c;306;31c;8e54;
45;30a;31f;93fc;
3e;30b;321;99a0;
39;309;321;9f44;
35;30b;323;a4e8;
30;30d;324;aa90;
2b;30e;325;b034;
26;314;325;b5d8;
23;312;329;bb7c;
21;316;32d;c124;
1d;31c;32d;c6c8;
1c;31c;32e;cc6c;
1a;321;334;d210;
19;324;331;d7b8;
19;324;337;dd5c;
19;325;33c;e300;
19;32b;33c;e8a4;
1b;32d;33c;ee4c;
1d;32e;33f;f3f0;
1e;332;342;f994;
22;333;343;ff38;
25;333;348;4e0;
28;334;349;a30;
2b;336;34c;f80;
30;335;34d;14d0;
35;334;34d;1a74;
3b;336;34f;2020;
41;336;350;25bc;
46;336;352;2b64;
4c;334;351;3108;
53;333;354;36ac;
5a;334;354;3c50;
61;32f;353;41f8;
68;330;356;479c;
6f;32f;359;4d40;
77;32d;357;52e4;
7d;32a;356;588c;
85;327;356;5e30;
8d;323;357;63d4;
94;322;35a;6978;
9b;321;355;6f20;
a3;31a;356;74c4;
aa;31a;354;7a68;
b0;318;355;8014;
b6;311;353;85b4;
bd;312;352;8b58;
c2;310;351;90fc;
c8;30e;352;96a0;
cd;30b;350;9c48;
d1;30c;34e;a1ec;
d6;309;34e;a790;
da;30d;34c;ad34;
dc;309;349;b2dc;
df;309;349;b880;
e1;307;345;be24;
e3;307;344;c3c8;
e5;308;344;c970;
e6;309;33e;cf14;
e6;308;33d;d4b8;
e5;309;33a;da5c;
e4;30a;336;e008;
e2;308;333;e5a8;
e1;308;332;eb4c;
de;309;331;f0f0;
db;307;32c;f698;
d8;306;32b;fc3c;
d4;308;32a;1e0;
d0;307;327;730;
cb;309;325;c80;
c6;307;323;11d0;
c0;306;320;1774;
ba;305;31f;1d1c;
b4;306;31d;22c0;
ae;308;31b;2864;
a7;308;31d;2e08;
a0;303;31c;33b0;
98;308;318;3954;
92;306;317;3ef8;
8b;306;319;449c;
83;305;31a;4a44;
7b;309;31b;4fe8;
74;307;31c;558c;
6d;307;31b;5b30;
66;308;31c;60d8;
5e;305;31e;667c;
58;309;31d;6c20;
51;304;31b;71c4;
4b;30a;31f;776c;
44;30b;31f;7d10;
3e;309;322;82b4;
39;30b;322;8858;
33;30c;322;8e00;
2f;30c;322;93a4;
2b;30f;326;9948;
26;314;328;9eec;
23;313;32c;a494;
20;317;32c;aa38;
1d;31a;32f;afdc;
1b;31e;32e;b580;
1a;323;332;bb28;
18;326;337;c0cc;
19;32b;337;c670;
18;32c;339;cc1c;
1a;32b;33e;d1bc;
1a;32f;341;d760;
1d;331;341;dd04;
1f;332;342;e2a8;
21;331;346;e850;
25;333;346;edf4;
28;335;348;f398;
2d;334;34b;f93c;
32;333;34b;fee4;
36;336;34e;488;
3c;333;34e;9d8;
41;334;352;f28;
47;333;351;1478;
4e;333;351;1a1c;
54;331;354;1fc0;
5a;330;351;2568;
63;32f;356;2b0c;
6a;32f;355;30b0;
71;32e;358;3654;
77;32c;358;3bfc;
7f;326;358;41a0;
87;327;354;4744;
8e;323;357;4ce8;
96;321;355;5290;
9d;320;358;5834;
a4;31f;356;5dd8;
ab;319;355;637c;
b0;318;354;6924;
b7;316;355;6ec8;
bd;313;354;746c;
c4;312;352;7a10;
c9;30f;351;7fb8;
ce;30d;350;855c;
d2;30d;34f;8b00;
d7;30c;34d;90a4;
da;30c;34b;964c;
dd;309;348;9bf0;
df;307;345;a194;
e1;307;344;a738;
e2;309;342;ace0;
e5;308;341;b284;
e5;307;33d;b828;
e5;307;339;bdcc;
e5;301;33a;c374;
e3;308;338;c918;
e1;306;333;cebc;
e0;308;331;d460;
de;308;331;da08;
d9;30b;32a;dfac;
d7;307;329;e550;
d3;307;329;eaf4;
ce;308;324;f09c;
ca;306;325;f640;
c4;30a;322;fbe4;
bf;307;31e;188;
b9;307;31e;6d8;
b3;308;320;c28;
ae;309;31c;1178;
a6;308;319;1720;
9f;306;319;1cc4;
97;30a;31d;2268;
90;306;31a;2814;
8a;307;319;2db4;
82;307;319;3358;
7b;305;31b;38fc;
73;307;31b;3ea0;
6c;307;316;4448;
65;308;31d;49ec;
5d;307;31c;4f90;
56;307;319;5534;
50;305;31f;5adc;
49;305;31c;6080;
43;30a;31e;6624;
3e;30a;31f;6bc8;
38;30b;322;7170;
32;30c;323;7714;
2e;30f;322;7cb8;
2a;310;328;825c;
25;314;327;8808;
21;315;32b;8da8;
1f;317;32e;934c;
1d;31d;331;98f0;
1b;31f;332;9e98;
1a;322;334;a43c;
18;326;334;a9e0;
18;329;338;af84;
19;32d;33a;b52c;
19;32f;33e;bad0;
1b;32f;33f;c074;
1d;32e;341;c618;
1f;331;344;cbc0;
22;333;346;d164;
26;334;347;d708;
29;333;34b;dcac;
2e;335;34a;e254;
33;335;34d;e7f8;
37;335;34d;ed9c;
3e;335;34f;f340;
43;333;351;f8e8;
49;336;351;fe8c;
4f;334;353;430;
56;335;354;980;
5d;332;355;ed0;
63;32e;356;1420;
6b;32e;358;19c4;
71;32d;357;1f6c;
79;32c;355;2510;
80;329;357;2ab4;
88;327;357;3058;
8f;322;35a;3600;
97;322;359;3ba4;
9e;31f;356;4148;
a5;31a;359;46ec;
ac;319;356;4c94;
b2;317;354;5238;
b8;314;353;57dc;
bf;312;355;5d80;
c4;30f;353;6328;
c9;30f;354;68cc;
cf;30a;350;6e70;
d3;30e;34e;741c;
d7;309;34e;79bc;
db;309;34c;7f60;
dd;30b;347;8504;
df;309;345;8aa8;
e2;306;342;9050;
e3;307;343;95f4;
e5;307;340;9b98;
e5;30a;33d;a13c;
e4;309;33a;a6e4;
e4;305;337;ac88;
e2;308;338;b22c;
e2;309;336;b7d0;
df;309;332;bd78;
dd;30a;331;c31c;
da;307;32d;c8c0;
d6;309;326;ce64;
d2;30a;323;d410;
cd;305;322;d9b0;
c9;30a;321;df54;
c4;307;325;e4f8;
be;308;31e;eaa0;
b8;307;31f;f044;
b2;307;31f;f5e8;
ab;306;31c;fb8c;
a3;306;31b;134;
9d;308;31b;684;
97;306;319;bd4;
90;307;319;1124;
88;307;31b;16c8;
81;308;318;1c6c;
79;308;31e;2210;
72;308;31a;27b8;
6b;308;319;2d5c;
63;306;31a;3300;
5d;307;31b;38a4;
55;307;31b;3e4c;
4f;309;319;43f0;
49;307;31e;4994;
42;308;31f;4f38;
3c;309;321;54e0;
37;30e;321;5a84;
31;30e;321;6028;
2d;30d;327;65cc;
29;312;328;6b74;
25;315;329;7118;
22;316;32a;76bc;
1f;319;32d;7c60;
1d;31d;32f;8208;
1b;320;32e;87ac;
1a;321;334;8d50;
19;329;338;92f4;
19;328;339;989c;
19;32b;33d;9e40;
1a;32d;33c;a3e4;
1b;330;33d;a988;
1d;330;341;af30;
20;331;341;b4d4;
22;334;345;ba78;
26;332;348;c020;
2a;336;347;c5c4;
2e;332;350;cb68;
34;332;34c;d10c;
38;332;350;d6b0;
3e;335;350;dc58;
44;333;350;e1fc;
4a;333;351;e7a0;
51;330;352;ed44;
58;333;353;f2ec;
5e;32f;353;f890;
66;32b;356;fe34;
6d;32c;356;3d8;
73;32c;358;928;
7b;32f;355;e78;
82;328;358;13c8;
88;325;357;1970;
91;322;356;1f14;
98;322;356;24b8;
9e;321;356;2a5c;
a5;319;356;3008;
ac;319;356;35a8;
b3;317;353;3b4c;
b9;314;354;40f0;
bf;311;354;4698;
c4;312;350;4c3c;
cb;30f;350;51e0;
cf;30d;353;5784;
d4;30c;34e;5d2c;
d6;30b;34b;62d0;
db;308;349;6874;
de;30a;349;6e18;
e1;308;347;73c0;
e3;309;344;7964;
e4;306;344;7f08;
e5;306;341;84ac;
e6;308;33c;8a54;
e6;30a;338;8ff8;
e4;309;337;959c;
e3;309;335;9b40;
e2;308;333;a0e8;
e0;306;331;a68c;
dd;308;32e;ac30;
d9;30b;32e;b1d4;
d6;308;32a;b77c;
d1;307;326;bd20;
cc;308;325;c2c4;
c8;307;323;c868;
c3;307;31f;ce10;
bc;308;31f;d3b4;
b7;309;31f;d958;
b1;309;31d;defc;
a9;308;31c;e4a4;
a3;307;31c;ea48;
9c;309;318;efec;
95;30a;317;f590;
8d;305;31a;fb38;
86;307;319;dc;
7f;305;31a;5d8;
78;307;31e;b28;
70;308;319;1078;
6b;307;31c;161c;
63;305;319;1bc0;
5b;307;31c;2164;
55;308;31c;270c;
4e;309;31e;2cb0;
48;307;31b;3254;
41;30a;31e;37f8;
3c;309;321;3da0;
36;30b;31f;4344;
31;30d;323;48e8;
2c;311;327;4e8c;
29;314;326;5434;
24;311;32e;59d8;
22;316;32c;5f7c;
1e;318;32b;6520;
1c;31c;331;6ac8;
1a;320;334;706c;
1a;323;337;7610;
18;324;339;7bb4;
19;327;337;815c;
19;32c;33b;8700;
1b;32b;33a;8ca4;
1c;32f;342;9248;
1d;332;33f;97f0;
20;331;347;9d94;
24;335;346;a338;
26;334;345;a8dc;
2a;333;34c;ae84;
2f;334;34c;b428;
33;334;34c;b9cc;
38;334;34d;bf70;
3f;335;351;c518;
45;334;34e;cabc;
4a;334;352;d060;
51;333;354;d604;
58;332;357;dbac;
5f;333;355;e150;
67;32f;356;e6f4;
6e;32d;355;ec98;
75;32b;355;f240;
7c;32b;354;f7e4;
84;328;355;fd88;
8b;325;357;32c;
92;323;358;87c;
99;323;357;dcc;
a0;31e;357;131c;
a7;31e;359;18c4;
ad;31b;356;1e68;
b3;313;356;2414;
ba;313;356;29b0;
bf;315;351;2f58;
c6;30f;351;34fc;
cb;30e;350;3aa0;
